INV,C_TYPE,C_PLANT,C_MARK,C_BODY,C_GROUP,N_CHASS,N_ENG,N_BODY,YEA_,N_PASS,D_PASS,SIGN,SIGN1,SIGN2,D_SIGN,D_EXPL,C_CLASS,C_COLOR,C_DUTY,C_OWNER,COST,SUBD,SUBC,YEAR_A,C_SOUR,N_SOUR,D_SOUR,C_STOR,N_STOR,D_STOR,N_ALOC,D_ALOC,D_TRANS,D_DEL,NORM_R,NORM_P,NORM_O,C_SFIN,C_BUY
1.0000000000000000e+00,"A(","C)","OR","D,","E)","206295","574259",,1963,"ВА 185233",,"1966роп",,,,"02/08/90 00:00:00","F(","G1","H)","(6",,,,,"I,","м/601с","12/29/90 00:00:00","J,","прием.сдат.акт","02/08/90 00:00:00","2","01/05/90 00:00:00","02/08/90 00:00:00","11/26/91 00:00:00",2.0800000000000000e+03,1.4000000000000000e+01,,"*(",
2.0000000000000000e+00,"A6","C)","P\","D/","E.","0927490","0141577",,1986,"ВП 881485",,"1715роп",,,,"11/24/89 00:00:00",,"G)","H3","(@",,,,,"I-",,,"J5","прием.сдат.акт",,"2","01/05/90 00:00:00","11/24/89 00:00:00",,2.9000000000000000e+03,2.2000000000000000e+01,,,
3.0000000000000000e+00,"A(","C(","N7","D(","E)","б/н","9488792","1699835",1987,"ВФ 475483",,"1165рдс",,,,"02/05/90 00:00:00","F(",,,"(-",0.0000000000000000e+00,,,,"I0","22/7-27","01/30/90 00:00:00","J1",,,,,"02/05/90 00:00:00","12/02/91 00:00:00",2.0800000000000000e+03,1.0000000000000000e+01,,,
4.0000000000000000e+00,"A+","C)","Pc","D1","E:","0262465","20701557",,1989,"ВШ 225888","05/10/90 00:00:00","0865рдш",,,"05/10/90 00:00:00","02/20/90 00:00:00",,"G,",,"(8",6.0520000000000000e+03,"015","250",1991,"I+",,,"J.","9/6022","01/22/90 00:00:00","2","02/05/90 00:00:00","12/11/92 00:00:00",,2.0800000000000000e+03,2.5000000000000000e+01,,,">)"
5.0000000000000000e+00,"A(","C*","OQ","D,","E)","0245607","91204134",,1989,"ВШ 229206",,"1130рдб",,,,"03/14/90 00:00:00","F*","G)",,"(1",,,,,"I(",,,,,,"2","01/20/90 00:00:00","03/14/90 00:00:00",,2.9000000000000000e+03,1.8000000000000000e+01,,,
6.0000000000000000e+00,"A(","C*","OQ","D-","E(","0249344","00102611",,1989,"ВШ 228945",,"0889рдг",,,,"02/20/90 00:00:00","F*","G)","H*","(25",,,,,"I*",,,"J-","прием.сдат.акт","02/16/90 00:00:00","2","01/05/90 00:00:00","02/20/90 00:00:00",,4.1600000000000000e+03,1.8500000000000000e+01,,,
7.0000000000000000e+00,"A(","C*","OQ","D-","E(","0249337","00101963",,1989,"ВУ 978718",,"0271ром",,,,"02/21/90 00:00:00","F*","G/","H*","(H",4.8830000000000000e+03,"015","250",1991,"I*",,,"J-","54","02/15/90 00:00:00","2","01/05/90 00:00:00","02/21/90 00:00:00",,4.1600000000000000e+03,1.8500000000000000e+01,,"*(",">)"
8.0000000000000000e+00,"A(","C*","OQ","D-","E(","0249331","00102537",,1989,"ВШ 224435",,"0340рдв",,,,"02/22/90 00:00:00","F*","G/","H*","(K",4.8830000000000000e+03,"015","250",1991,"I*",,,"J-","52","02/15/90 00:00:00","2","01/05/90 00:00:00","02/22/90 00:00:00",,4.1600000000000000e+03,1.8500000000000000e+01,,"*(",">)"
9.0000000000000000e+00,"A(","C(","N7","D(","E)",,"1181526","2371244",1990,"ВШ 229177","03/16/90 00:00:00","0200рдв",,,"07/31/91 00:00:00","02/21/90 00:00:00","F)","G2","H7","(B",3.1000000000000000e+03,"015","250",1991,"I*","1/1273","04/02/90 00:00:00","J/","3/4089","02/19/90 00:00:00","2","01/05/90 00:00:00","06/11/91 00:00:00",,2.0800000000000000e+03,1.0000000000000000e+01,,"*(",">("
1.0000000000000000e+01,"A(","C(","N7","D(","E)",,"1182207","2371223",1990,"ВШ 228970",,"0537ром",,,"11/16/90 00:00:00","02/21/90 00:00:00","F)","G,","H(","(2(",3.1000000000000000e+03,"015","250",1991,"I*",,,"J/","3/4089","02/19/90 00:00:00","2","01/05/90 00:00:00","02/21/90 00:00:00",,2.0800000000000000e+03,1.0000000000000000e+01,,"*(",">("
