C_MENU,C_REC,NAME_REC,ENDS
,"K","Типы подразделений УВД",0
,"A","Тип транспорного средства",0
,"B","Марка транспортного средства",0
"B","N","Легковой автомобиль",1
"B","X","Легковой фургон, пикап",1
"B","O","Легковой повышенной проходимости",1
"B","P","Грузовой",1
"B","Q","Автобус",1
"B","R","Прицеп",1
"B","S","Мотоцикл",1
"B","T","Катера и лодки",1
,"C","Завод изготовитель",0
,"D","Тип кузова",0
,"E","Штатная группа",0
,"F","Класс автотранспорта",0
,"G","Цвет транспорта",0
"G","(","белый",0
"G",")","желтый",0
,"H","Вид службы",0
,"I","Организ., выдавшая наряд",0
,"J","Склад,с которого получен транспорт",0
,"M","Назначение автомобиля",0
"A","(","легковой автомобиль",0
"A","6","оперативно-служ. на грузовом шасси",0
"A",">","специальный",0
"G","*","красный",0
"G","+","зеленый",0
"H","(","ОБХСС",0
"G",",","синий",0
"G","-","черный",0
"C","(","Волжский автозавод, СССР",0
"C","/","АЗЛК, СССР",0
"G",".","стальной",0
"G","/","серый",0
"D","(","седан",0
"D",")","кабриолет",0
"D","*","пикап",0
"G","0","""мокрый асфальт""",0
"H",")","уголовный розыск",0
"C",")","ГАЗ, СССР",0
"E",")","стандартный",0
"E","(","дежурный АДЧ",0
"E","+","патрульный АП-ГАИ",0
"E",",","учебно-экзаменационный АЭ",0
"E","-","автомобиль БД",0
"E",".","АМВ",0
"E","/","ПРЭП",0
"C","*","Ульяновский, СССР",0
"C","+","ЗИЛ, СССР",0
"C",",","Ижевский, СССР",0
"C","-","Рижский, Латвийская республика",0
"C",".","Курганский, СССР",0
"C","0","Павловский, СССР",0
"D","+","хечбек",0
"A","+","грузовой",0
"A",",","автобус",0
"A","2","погрузчик",0
"A",".","мотоцикл",0
"A","/","катер",0
"A","0","мотолодка",0
"N","+","москвич М-412",0
"N","(","москвич М-2140",0
"N",")","москвич М-2137",0
"N","*","москвич М-2141",0
"9",",","москвич М-2715",0
"N","-","ВАЗ-2101",0
"N",".","ВАЗ-21011",0
"N","/","ВАЗ-21013",0
"N","0","ВАЗ-21015",0
"N","1","ВАЗ-21018",0
"N","2","ВАЗ-2102",0
"N","3","ВАЗ-2103",0
"N","4","ВАЗ-2104",0
"N","5","ВАЗ-2105",0
"N","6","ВАЗ-2106",0
"N","7","ВАЗ-21061",0
"N","8","ВАЗ-21063",0
"N","9","ВАЗ-2107",0
"N",":","ВАЗ-2108",0
"N",";","Фиат-132",0
"N","<","ВАЗ-21081",0
"N","=","ВАЗ-2109",0
"N",">","ВАЗ-21083",0
"N","?","ВАЗ-21051",0
"N","@","ВАЗ-21053",0
"N","A","ВАЗ-2110",0
"N","B","М-21",0
